DBN,School Name,Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Total Regents - n,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - n,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - n,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - n,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
01M450,EAST SIDE COMMUNITY SCHOOL,2005,85,61,71.80%,58,68.20%,95.10%,0,0%,0%,58,68.20%,95.10%,3,3.50%,4.90%,11,12.90%,9,10.60%
01M450,EAST SIDE COMMUNITY SCHOOL,2006,90,70,77.80%,67,74.40%,95.70%,0,0%,0%,67,74.40%,95.70%,3,3.30%,4.30%,15,16.70%,5,5.60%
01M450,EAST SIDE COMMUNITY SCHOOL,2006 Aug,90,71,78.90%,68,75.60%,95.80%,0,0%,0%,68,75.60%,95.80%,3,3.30%,4.20%,14,15.60%,5,5.60%
01M509,MARTA VALLE HIGH SCHOOL,2001,69,34,49.30%,6,8.70%,17.60%,0,0%,0%,6,8.70%,17.60%,28,40.60%,82.40%,19,27.50%,10,14.50%
01M509,MARTA VALLE HIGH SCHOOL,2002,55,22,40%,11,20%,50%,4,7.30%,18.20%,7,12.70%,31.80%,11,20%,50%,18,32.70%,11,20%
01M509,MARTA VALLE HIGH SCHOOL,2003,70,31,44.30%,22,31.40%,71%,0,0%,0%,22,31.40%,71%,9,12.90%,29%,20,28.60%,18,25.70%
01M509,MARTA VALLE HIGH SCHOOL,2004,65,29,44.60%,13,20%,44.80%,3,4.60%,10.30%,10,15.40%,34.50%,16,24.60%,55.20%,27,41.50%,8,12.30%
01M509,MARTA VALLE HIGH SCHOOL,2005,88,49,55.70%,38,43.20%,77.60%,18,20.50%,36.70%,20,22.70%,40.80%,11,12.50%,22.40%,20,22.70%,14,15.90%
01M509,MARTA VALLE HIGH SCHOOL,2006,84,47,56%,40,47.60%,85.10%,17,20.20%,36.20%,23,27.40%,48.90%,7,8.30%,14.90%,25,29.80%,5,6%
01M509,MARTA VALLE HIGH SCHOOL,2006 Aug,84,50,59.50%,41,48.80%,82%,18,21.40%,36%,23,27.40%,46%,9,10.70%,18%,22,26.20%,5,6%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2001,166,88,53%,36,21.70%,40.90%,0,0%,0%,36,21.70%,40.90%,53,31.90%,60.20%,45,27.10%,30,18.10%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2002,172,77,44.80%,53,30.80%,68.80%,0,0%,0%,53,30.80%,68.80%,24,14%,31.20%,67,39%,28,16.30%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2003,205,86,42%,71,34.60%,82.60%,48,23.40%,55.80%,23,11.20%,26.70%,15,7.30%,17.40%,80,39%,39,19%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2004,200,97,48.50%,74,37%,76.30%,60,30%,61.90%,14,7%,14.40%,23,11.50%,23.70%,78,39%,25,12.50%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2005,154,70,45.50%,56,36.40%,80%,45,29.20%,64.30%,11,7.10%,15.70%,14,9.10%,20%,64,41.60%,20,13%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2006,193,105,54.40%,91,47.20%,86.70%,69,35.80%,65.70%,22,11.40%,21%,14,7.30%,13.30%,53,27.50%,35,18.10%
01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,2006 Aug,193,105,54.40%,91,47.20%,86.70%,69,35.80%,65.70%,22,11.40%,21%,14,7.30%,13.30%,53,27.50%,35,18.10%
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2001,17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2002,7,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2003,58,58,100%,57,98.30%,98.30%,49,84.50%,84.50%,8,13.80%,13.80%,1,1.70%,1.70%,0,0%,0,0%
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2004,60,58,96.70%,58,96.70%,100%,54,90%,93.10%,4,6.70%,6.90%,0,0%,0%,0,0%,2,3.30%
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2005,49,47,95.90%,47,95.90%,100%,38,77.60%,80.90%,9,18.40%,19.10%,0,0%,0%,2,4.10%,0,0%
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2006,46,46,100%,46,100%,100%,31,67.40%,67.40%,15,32.60%,32.60%,0,0%,0%,0,0%,0,0%
01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,2006 Aug,46,46,100%,46,100%,100%,31,67.40%,67.40%,15,32.60%,32.60%,0,0%,0%,0,0%,0,0%
01M650,CASCADES HIGH SCHOOL,2001,86,27,31.40%,2,2.30%,7.40%,0,0%,0%,2,2.30%,7.40%,25,29.10%,92.60%,47,54.70%,11,12.80%
01M650,CASCADES HIGH SCHOOL,2002,92,22,23.90%,6,6.50%,27.30%,0,0%,0%,6,6.50%,27.30%,16,17.40%,72.70%,62,67.40%,8,8.70%
01M650,CASCADES HIGH SCHOOL,2003,93,27,29%,7,7.50%,25.90%,0,0%,0%,7,7.50%,25.90%,20,21.50%,74.10%,62,66.70%,4,4.30%
01M650,CASCADES HIGH SCHOOL,2004,67,28,41.80%,10,14.90%,35.70%,0,0%,0%,10,14.90%,35.70%,18,26.90%,64.30%,31,46.30%,7,10.40%
01M650,CASCADES HIGH SCHOOL,2005,95,31,32.60%,17,17.90%,54.80%,0,0%,0%,17,17.90%,54.80%,14,14.70%,45.20%,54,56.80%,7,7.40%
01M650,CASCADES HIGH SCHOOL,2006,89,49,55.10%,36,40.40%,73.50%,0,0%,0%,36,40.40%,73.50%,13,14.60%,26.50%,34,38.20%,6,6.70%
01M650,CASCADES HIGH SCHOOL,2006 Aug,89,49,55.10%,36,40.40%,73.50%,0,0%,0%,36,40.40%,73.50%,13,14.60%,26.50%,34,38.20%,6,6.70%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2001,119,112,94.10%,110,92.40%,98.20%,0,0%,0%,110,92.40%,98.20%,2,1.70%,1.80%,5,4.20%,2,1.70%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2002,110,104,94.50%,103,93.60%,99%,0,0%,0%,103,93.60%,99%,1,0.90%,1%,6,5.50%,0,0%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2003,126,123,97.60%,123,97.60%,100%,0,0%,0%,123,97.60%,100%,0,0%,0%,2,1.60%,1,0.80%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2004,117,108,92.30%,108,92.30%,100%,0,0%,0%,108,92.30%,100%,0,0%,0%,8,6.80%,1,0.90%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2005,115,107,93%,107,93%,100%,0,0%,0%,107,93%,100%,0,0%,0%,7,6.10%,1,0.90%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006,139,134,96.40%,134,96.40%,100%,0,0%,0%,134,96.40%,100%,0,0%,0%,4,2.90%,1,0.70%
01M696,BARD HIGH SCHOOL EARLY COLLEGE,2006 Aug,139,136,97.80%,136,97.80%,100%,0,0%,0%,136,97.80%,100%,0,0%,0%,2,1.40%,1,0.70%
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2001,11,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2002,18,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2003,17,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2004,14,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2005,24,9,37.50%,4,16.70%,44.40%,0,0%,0%,4,16.70%,44.40%,5,20.80%,55.60%,9,37.50%,3,12.50%
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2006,25,19,76%,8,32%,42.10%,0,0%,0%,8,32%,42.10%,11,44%,57.90%,4,16%,1,4%
02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,2006 Aug,25,19,76%,8,32%,42.10%,0,0%,0%,8,32%,42.10%,11,44%,57.90%,4,16%,1,4%
02M288,FOOD AND FINANCE HIGH SCHOOL,2001,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2003,5,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M288,FOOD AND FINANCE HIGH SCHOOL,2004,80,53,66.30%,50,62.50%,94.30%,0,0%,0%,50,62.50%,94.30%,3,3.80%,5.70%,11,13.80%,16,20%
02M288,FOOD AND FINANCE HIGH SCHOOL,2005,79,59,74.70%,48,60.80%,81.40%,0,0%,0%,48,60.80%,81.40%,11,13.90%,18.60%,17,21.50%,2,2.50%
02M288,FOOD AND FINANCE HIGH SCHOOL,2006,102,91,89.20%,77,75.50%,84.60%,0,0%,0%,77,75.50%,84.60%,14,13.70%,15.40%,5,4.90%,3,2.90%
02M288,FOOD AND FINANCE HIGH SCHOOL,2006 Aug,102,92,90.20%,78,76.50%,84.80%,0,0%,0%,78,76.50%,84.80%,14,13.70%,15.20%,4,3.90%,3,2.90%
02M294,ESSEX STREET ACADEMY,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M294,ESSEX STREET ACADEMY,2003,11,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M294,ESSEX STREET ACADEMY,2004,96,81,84.40%,48,50%,59.30%,0,0%,0%,48,50%,59.30%,33,34.40%,40.70%,10,10.40%,5,5.20%
02M294,ESSEX STREET ACADEMY,2005,70,54,77.10%,53,75.70%,98.10%,0,0%,0%,53,75.70%,98.10%,1,1.40%,1.90%,15,21.40%,0,0%
02M294,ESSEX STREET ACADEMY,2006,89,64,71.90%,58,65.20%,90.60%,0,0%,0%,58,65.20%,90.60%,6,6.70%,9.40%,15,16.90%,9,10.10%
02M294,ESSEX STREET ACADEMY,2006 Aug,89,67,75.30%,58,65.20%,86.60%,0,0%,0%,58,65.20%,86.60%,9,10.10%,13.40%,12,13.50%,9,10.10%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2003,4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2004,81,59,72.80%,39,48.10%,66.10%,0,0%,0%,39,48.10%,66.10%,20,24.70%,33.90%,15,18.50%,7,8.60%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2005,91,74,81.30%,63,69.20%,85.10%,6,6.60%,8.10%,57,62.60%,77%,11,12.10%,14.90%,11,12.10%,4,4.40%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006,75,58,77.30%,50,66.70%,86.20%,1,1.30%,1.70%,49,65.30%,84.50%,8,10.70%,13.80%,11,14.70%,5,6.70%
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,2006 Aug,75,60,80%,52,69.30%,86.70%,1,1.30%,1.70%,51,68%,85%,8,10.70%,13.30%,9,12%,5,6.70%
02M298,PACE HIGH SCHOOL,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M298,PACE HIGH SCHOOL,2003,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M298,PACE HIGH SCHOOL,2004,115,98,85.20%,98,85.20%,100%,41,35.70%,41.80%,57,49.60%,58.20%,0,0%,0%,8,7%,7,6.10%
02M298,PACE HIGH SCHOOL,2005,98,82,83.70%,77,78.60%,93.90%,13,13.30%,15.90%,64,65.30%,78%,5,5.10%,6.10%,13,13.30%,2,2%
02M298,PACE HIGH SCHOOL,2006,92,78,84.80%,76,82.60%,97.40%,39,42.40%,50%,37,40.20%,47.40%,2,2.20%,2.60%,6,6.50%,4,4.30%
02M298,PACE HIGH SCHOOL,2006 Aug,92,79,85.90%,77,83.70%,97.50%,39,42.40%,49.40%,38,41.30%,48.10%,2,2.20%,2.50%,5,5.40%,4,4.30%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2002,2,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2003,6,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2004,83,57,68.70%,53,63.90%,93%,2,2.40%,3.50%,51,61.40%,89.50%,4,4.80%,7%,21,25.30%,5,6%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2005,79,59,74.70%,57,72.20%,96.60%,4,5.10%,6.80%,53,67.10%,89.80%,2,2.50%,3.40%,13,16.50%,3,3.80%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2006,80,49,61.30%,45,56.30%,91.80%,0,0%,0%,45,56.30%,91.80%,4,5%,8.20%,24,30%,7,8.80%
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,2006 Aug,80,57,71.30%,48,60%,84.20%,0,0%,0%,48,60%,84.20%,9,11.30%,15.80%,16,20%,7,8.80%
02M303,FACING HISTORY SCHOOL  THE,2004,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M303,FACING HISTORY SCHOOL  THE,2005,105,47,44.80%,47,44.80%,100%,0,0%,0%,47,44.80%,100%,0,0%,0%,35,33.30%,20,19%
02M303,FACING HISTORY SCHOOL  THE,2006,71,34,47.90%,34,47.90%,100%,0,0%,0%,34,47.90%,100%,0,0%,0%,21,29.60%,14,19.70%
02M303,FACING HISTORY SCHOOL  THE,2006 Aug,71,42,59.20%,42,59.20%,100%,0,0%,0%,42,59.20%,100%,0,0%,0%,13,18.30%,14,19.70%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2003,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2005,70,50,71.40%,41,58.60%,82%,2,2.90%,4%,39,55.70%,78%,9,12.90%,18%,8,11.40%,9,12.90%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2006,61,46,75.40%,40,65.60%,87%,0,0%,0%,40,65.60%,87%,6,9.80%,13%,3,4.90%,10,16.40%
02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,2006 Aug,61,46,75.40%,40,65.60%,87%,0,0%,0%,40,65.60%,87%,6,9.80%,13%,3,4.90%,10,16.40%
02M308,LOWER MANHATTAN ARTS ACADEMY,2004,3,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M308,LOWER MANHATTAN ARTS ACADEMY,2005,67,52,77.60%,30,44.80%,57.70%,2,3%,3.80%,28,41.80%,53.80%,22,32.80%,42.30%,7,10.40%,7,10.40%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006,68,46,67.60%,32,47.10%,69.60%,1,1.50%,2.20%,31,45.60%,67.40%,14,20.60%,30.40%,15,22.10%,6,8.80%
02M308,LOWER MANHATTAN ARTS ACADEMY,2006 Aug,68,48,70.60%,34,50%,70.80%,1,1.50%,2.10%,33,48.50%,68.80%,14,20.60%,29.20%,13,19.10%,6,8.80%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2002,4,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2003,25,15,60%,4,16%,26.70%,0,0%,0%,4,16%,26.70%,11,44%,73.30%,8,32%,2,8%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2004,44,13,29.50%,7,15.90%,53.80%,0,0%,0%,7,15.90%,53.80%,6,13.60%,46.20%,25,56.80%,4,9.10%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2005,78,30,38.50%,15,19.20%,50%,0,0%,0%,15,19.20%,50%,15,19.20%,50%,35,44.90%,8,10.30%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2006,79,41,51.90%,30,38%,73.20%,0,0%,0%,30,38%,73.20%,11,13.90%,26.80%,23,29.10%,12,15.20%
02M313,JAMES BALDWIN SCHOOL  THE: A SCHOOL F,2006 Aug,79,45,57%,31,39.20%,68.90%,0,0%,0%,31,39.20%,68.90%,14,17.70%,31.10%,20,25.30%,11,13.90%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2002,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2004,1,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2005,77,49,63.60%,32,41.60%,65.30%,6,7.80%,12.20%,26,33.80%,53.10%,17,22.10%,34.70%,20,26%,7,9.10%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006,72,53,73.60%,44,61.10%,83%,8,11.10%,15.10%,36,50%,67.90%,9,12.50%,17%,13,18.10%,4,5.60%
02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,2006 Aug,72,58,80.60%,46,63.90%,79.30%,8,11.10%,13.80%,38,52.80%,65.50%,12,16.70%,20.70%,8,11.10%,4,5.60%
02M374,GRAMERCY ARTS HIGH SCHOOL,2005,68,50,73.50%,13,19.10%,26%,0,0%,0%,13,19.10%,26%,37,54.40%,74%,10,14.70%,4,5.90%
02M374,GRAMERCY ARTS HIGH SCHOOL,2006,93,68,73.10%,51,54.80%,75%,1,1.10%,1.50%,50,53.80%,73.50%,17,18.30%,25%,16,17.20%,7,7.50%
02M374,GRAMERCY ARTS HIGH SCHOOL,2006 Aug,93,73,78.50%,52,55.90%,71.20%,1,1.10%,1.40%,51,54.80%,69.90%,21,22.60%,28.80%,12,12.90%,6,6.50%
02M394,EMMA LAZARUS HIGH SCHOOL,2006,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M394,EMMA LAZARUS HIGH SCHOOL,2006 Aug,10,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2001,360,271,75.30%,197,54.70%,72.70%,73,20.30%,26.90%,124,34.40%,45.80%,74,20.60%,27.30%,54,15%,26,7.20%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2002,372,276,74.20%,222,59.70%,80.40%,80,21.50%,29%,142,38.20%,51.40%,54,14.50%,19.60%,61,16.40%,31,8.30%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2003,312,228,73.10%,178,57.10%,78.10%,68,21.80%,29.80%,110,35.30%,48.20%,50,16%,21.90%,48,15.40%,32,10.30%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2004,297,236,79.50%,202,68%,85.60%,95,32%,40.30%,107,36%,45.30%,34,11.40%,14.40%,47,15.80%,11,3.70%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2005,344,241,70.10%,191,55.50%,79.30%,68,19.80%,28.20%,123,35.80%,51%,50,14.50%,20.70%,75,21.80%,15,4.40%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006,352,262,74.40%,219,62.20%,83.60%,80,22.70%,30.50%,139,39.50%,53.10%,43,12.20%,16.40%,55,15.60%,22,6.30%
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,2006 Aug,352,287,81.50%,231,65.60%,80.50%,80,22.70%,27.90%,151,42.90%,52.60%,56,15.90%,19.50%,31,8.80%,21,6%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2001,40,32,80%,0,0%,0%,0,0%,0%,0,0%,0%,32,80%,100%,6,15%,2,5%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2002,53,44,83%,0,0%,0%,0,0%,0%,0,0%,0%,44,83%,100%,8,15.10%,1,1.90%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2003,70,55,78.60%,0,0%,0%,0,0%,0%,0,0%,0%,55,78.60%,100%,13,18.60%,2,2.90%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2004,50,33,66%,0,0%,0%,0,0%,0%,0,0%,0%,33,66%,100%,15,30%,2,4%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2005,58,44,75.90%,0,0%,0%,0,0%,0%,0,0%,0%,44,75.90%,100%,12,20.70%,1,1.70%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2006,55,42,76.40%,0,0%,0%,0,0%,0%,0,0%,0%,42,76.40%,100%,11,20%,2,3.60%
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,2006 Aug,55,44,80%,0,0%,0%,0,0%,0%,0,0%,0%,44,80%,100%,9,16.40%,2,3.60%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2001,80,72,90%,54,67.50%,75%,15,18.80%,20.80%,39,48.80%,54.20%,18,22.50%,25%,4,5%,4,5%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2002,96,87,90.60%,71,74%,81.60%,13,13.50%,14.90%,58,60.40%,66.70%,16,16.70%,18.40%,7,7.30%,2,2.10%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2003,84,72,85.70%,61,72.60%,84.70%,24,28.60%,33.30%,37,44%,51.40%,11,13.10%,15.30%,11,13.10%,1,1.20%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2004,81,1,1.20%,0,0%,0%,0,0%,0%,0,0%,0%,1,1.20%,100%,79,97.50%,1,1.20%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2005,100,95,95%,80,80%,84.20%,21,21%,22.10%,59,59%,62.10%,15,15%,15.80%,4,4%,1,1%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2006,80,74,92.50%,61,76.30%,82.40%,8,10%,10.80%,53,66.30%,71.60%,13,16.30%,17.60%,6,7.50%,0,0%
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,2006 Aug,80,78,97.50%,64,80%,82.10%,8,10%,10.30%,56,70%,71.80%,14,17.50%,17.90%,2,2.50%,0,0%
02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2001,78,44,56.40%,13,16.70%,29.50%,0,0%,0%,13,16.70%,29.50%,31,39.70%,70.50%,22,28.20%,10,12.80%
02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2002,86,46,53.50%,22,25.60%,47.80%,0,0%,0%,22,25.60%,47.80%,24,27.90%,52.20%,19,22.10%,21,24.40%
02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2003,90,51,56.70%,20,22.20%,39.20%,0,0%,0%,20,22.20%,39.20%,31,34.40%,60.80%,24,26.70%,13,14.40%
02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2004,75,38,50.70%,11,14.70%,28.90%,0,0%,0%,11,14.70%,28.90%,27,36%,71.10%,21,28%,15,20%
02M409,COALITION SCHOOL FOR SOCIAL CHANGE,2005,83,63,75.90%,12,14.50%,19%,0,0%,0%,12,14.50%,19%,51,61.40%,81%,0,0%,9,10.80%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2001,92,92,100%,88,95.70%,95.70%,63,68.50%,68.50%,25,27.20%,27.20%,4,4.30%,4.30%,0,0%,0,0%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2002,101,98,97%,90,89.10%,91.80%,45,44.60%,45.90%,45,44.60%,45.90%,8,7.90%,8.20%,1,1%,1,1%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2003,94,92,97.90%,89,94.70%,96.70%,64,68.10%,69.60%,25,26.60%,27.20%,3,3.20%,3.30%,2,2.10%,0,0%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2004,104,101,97.10%,99,95.20%,98%,65,62.50%,64.40%,34,32.70%,33.70%,2,1.90%,2%,2,1.90%,1,1%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2005,96,96,100%,94,97.90%,97.90%,55,57.30%,57.30%,39,40.60%,40.60%,2,2.10%,2.10%,0,0%,0,0%
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,2006,105,103,98.10%,100,95.20%,97.10%,56,53.30%,54.40%,44,41.90%,42.70%,3,2.90%,2.90%,2,1.90%,0,0%
